,Time [s],Total mass [g],Cloud mass loss rate,Centre of mass [x-coordinates],Centre of mass [y-coordinates],Mass weighted velocity [cm/s],Acceleration [cm/s^2]
0,0.0000e+00,9.6773e+34,5.4978e+14,0.0000e+00,0.0000e+00,0.0000e+00,5.7913e-15
1,5.6148e+10,9.6773e+34,1.0538e+15,0.0000e+00,-3.4588e+08,3.2517e-04,1.4606e-06
2,1.1819e+11,9.6773e+34,-5.4702e+14,0.0000e+00,1.2650e+14,1.6401e+05,1.8438e-05
3,1.7951e+11,9.6773e+34,-8.4706e+14,0.0000e+00,4.4316e+16,2.0705e+06,4.7140e-05
4,2.4444e+11,9.6773e+34,2.8930e+15,0.0000e+00,2.6871e+17,5.4576e+06,6.3890e-05
5,3.0706e+11,9.6773e+34,2.5413e+15,-1.0290e+03,7.1782e+17,9.2451e+06,6.7106e-05
6,3.6661e+11,9.6773e+34,-2.6276e+15,0.0000e+00,1.3743e+18,1.2993e+07,6.9719e-05
7,4.3197e+11,9.6773e+34,-2.8036e+15,0.0000e+00,2.3474e+18,1.7074e+07,6.8346e-05
8,4.9207e+11,9.6773e+34,-2.7826e+15,0.0000e+00,3.4600e+18,2.0668e+07,6.2684e-05
9,5.5250e+11,9.6773e+34,1.1076e+15,0.0000e+00,4.7769e+18,2.4113e+07,5.9641e-05
10,6.1330e+11,9.6773e+34,3.9298e+15,0.0000e+00,6.2923e+18,2.7366e+07,5.6493e-05
11,6.7437e+11,9.6773e+34,-6.3423e+15,0.0000e+00,7.9990e+18,3.0457e+07,5.3572e-05
12,7.3538e+11,9.6773e+34,-1.7372e+15,0.0000e+00,9.8840e+18,3.3382e+07,5.2626e-05
13,8.0161e+11,9.6773e+34,6.5175e+15,-1.0290e+03,1.2127e+19,3.6367e+07,4.9209e-05
14,8.6182e+11,9.6773e+34,2.5398e+15,0.0000e+00,1.4341e+19,3.8907e+07,4.4173e-05
15,9.2167e+11,9.6773e+34,4.9191e+14,0.0000e+00,1.6705e+19,4.1327e+07,4.4939e-05
16,9.8663e+11,9.6773e+34,-4.7817e+15,-1.0290e+03,1.9454e+19,4.3954e+07,4.3557e-05
17,1.0457e+12,9.6773e+34,1.6762e+15,0.0000e+00,2.2105e+19,4.6218e+07,4.0700e-05
18,1.1095e+12,9.6773e+34,3.7047e+15,0.0000e+00,2.5094e+19,4.8524e+07,4.0537e-05
19,1.1725e+12,9.6773e+34,-7.4705e+14,0.0000e+00,2.8183e+19,5.0771e+07,3.8334e-05
20,1.2297e+12,9.6773e+34,-1.1790e+15,0.0000e+00,3.1102e+19,5.2829e+07,3.8148e-05
21,1.2911e+12,9.6773e+34,-5.0615e+15,0.0000e+00,3.4369e+19,5.5054e+07,4.0502e-05
22,1.3568e+12,9.6773e+34,-3.4025e+14,-1.0290e+03,3.8005e+19,5.7377e+07,3.8029e-05
23,1.4167e+12,9.6773e+34,1.6223e+15,-1.0290e+03,4.1447e+19,5.9325e+07,3.4138e-05
24,1.4808e+12,9.6773e+34,4.3191e+14,0.0000e+00,4.5256e+19,6.1211e+07,3.0814e-05
25,1.5394e+12,9.6773e+34,-1.3557e+15,1.0290e+03,4.8839e+19,6.2785e+07,2.7992e-05
26,1.6023e+12,9.6773e+34,9.0713e+14,1.0290e+03,5.2793e+19,6.4354e+07,2.6977e-05
27,1.6648e+12,9.6773e+34,5.3061e+15,0.0000e+00,5.6827e+19,6.5815e+07,2.5475e-05
28,1.7274e+12,9.6773e+34,-4.5248e+15,0.0000e+00,6.0964e+19,6.7215e+07,2.4500e-05
29,1.7893e+12,9.6773e+34,-5.2697e+15,0.0000e+00,6.5149e+19,6.8566e+07,2.3344e-05
30,1.8496e+12,9.6773e+34,5.2978e+15,0.0000e+00,6.9306e+19,6.9837e+07,2.2090e-05
31,1.9094e+12,9.6773e+34,5.0093e+14,-1.0290e+03,7.3502e+19,7.1046e+07,2.1884e-05
32,1.9740e+12,9.6773e+34,-2.5273e+15,0.0000e+00,7.8125e+19,7.2294e+07,2.0907e-05
33,2.0344e+12,9.6773e+34,3.3595e+15,-1.0290e+03,8.2514e+19,7.3394e+07,1.9000e-05
34,2.0946e+12,9.6773e+34,-1.9458e+15,1.0290e+03,8.6951e+19,7.4428e+07,1.8549e-05
35,2.1594e+12,9.6773e+34,-2.2862e+15,0.0000e+00,9.1796e+19,7.5477e+07,1.7640e-05
36,2.2196e+12,9.6773e+34,1.1524e+15,0.0000e+00,9.6362e+19,7.6408e+07,1.6457e-05
37,2.2805e+12,9.6773e+34,-4.2549e+14,-1.0290e+03,1.0103e+20,7.7325e+07,1.6478e-05
38,2.3418e+12,9.6773e+34,8.3206e+14,0.0000e+00,1.0579e+20,7.8259e+07,1.6565e-05
39,2.4027e+12,9.6773e+34,1.9489e+15,0.0000e+00,1.1057e+20,7.9185e+07,1.6604e-05
40,2.4680e+12,9.6773e+34,1.5652e+15,0.0000e+00,1.1575e+20,8.0123e+07,1.5475e-05
41,2.5284e+12,9.6773e+34,-4.7236e+15,0.0000e+00,1.2060e+20,8.0923e+07,1.3710e-05
42,2.5882e+12,9.6773e+34,1.1018e+15,0.0000e+00,1.2543e+20,8.1663e+07,1.3227e-05
43,2.6517e+12,9.6773e+34,3.1392e+15,1.0290e+03,1.3062e+20,8.2409e+07,1.2781e-05
44,2.7143e+12,9.6773e+34,-5.6907e+14,0.0000e+00,1.3577e+20,8.3098e+07,1.2032e-05
45,2.7769e+12,9.6773e+34,7.0468e+14,0.0000e+00,1.4096e+20,8.3760e+07,1.1407e-05
46,2.8353e+12,9.6773e+34,-4.8103e+15,0.0000e+00,1.4584e+20,8.4379e+07,1.1791e-05
47,2.8986e+12,9.6773e+34,-3.1871e+14,0.0000e+00,1.5117e+20,8.5084e+07,1.3088e-05
48,2.9621e+12,9.6773e+34,6.0816e+15,0.0000e+00,1.5655e+20,8.5849e+07,1.3699e-05
49,3.0212e+12,9.6773e+34,-8.3827e+14,1.0290e+03,1.6162e+20,8.6622e+07,1.4969e-05
50,3.0855e+12,9.6773e+34,-1.7270e+15,1.0290e+03,1.6719e+20,8.7530e+07,1.6120e-05
51,3.1455e+12,9.6773e+34,2.7332e+15,0.0000e+00,1.7244e+20,8.8432e+07,1.6368e-05
52,3.2058e+12,9.6773e+34,-7.2779e+14,0.0000e+00,1.7777e+20,8.9368e+07,1.7374e-05
53,3.2709e+12,9.6773e+34,-1.5988e+15,1.0290e+03,1.8360e+20,9.0383e+07,1.7357e-05
54,3.3316e+12,9.6773e+34,3.3830e+14,0.0000e+00,1.8909e+20,9.1317e+07,1.6483e-05
55,3.3924e+12,9.6773e+34,3.3858e+15,0.0000e+00,1.9466e+20,9.2234e+07,1.6231e-05
56,3.4535e+12,9.6773e+34,-3.4428e+15,0.0000e+00,2.0030e+20,9.3140e+07,1.6256e-05
57,3.5164e+12,9.6773e+34,-1.7932e+15,0.0000e+00,2.0617e+20,9.4060e+07,1.5669e-05
58,3.5750e+12,9.6773e+34,5.5792e+15,0.0000e+00,2.1169e+20,9.4899e+07,1.5514e-05
59,3.6395e+12,9.6773e+34,5.1253e+14,0.0000e+00,2.1783e+20,9.5802e+07,1.5821e-05
60,3.7032e+12,9.6773e+34,-3.3829e+14,-1.0290e+03,2.2394e+20,9.6676e+07,1.5564e-05
