,Time [s],Average velocity [cm/s],RMS velocity [cm/s],(volume-weighted) average velocity dispersion,RMS Mach number
0,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1,5.6148e+10,1.4868e+05,1.5447e+05,4.1918e+04,1.5447e-01
2,1.2026e+11,2.9721e+05,3.0977e+05,8.7323e+04,3.0977e-01
3,1.8423e+11,4.1656e+05,4.3622e+05,1.2946e+05,4.3622e-01
4,2.4208e+11,5.0067e+05,5.2578e+05,1.6055e+05,5.2578e-01
5,3.0469e+11,5.7259e+05,6.0459e+05,1.9409e+05,6.0459e-01
6,3.6970e+11,6.5029e+05,6.9106e+05,2.3385e+05,6.9106e-01
7,4.3168e+11,7.3385e+05,7.8559e+05,2.8039e+05,7.8559e-01
8,4.9347e+11,8.1562e+05,8.8014e+05,3.3078e+05,8.8014e-01
9,5.5491e+11,8.9228e+05,9.6692e+05,3.7251e+05,9.6692e-01
10,6.1583e+11,9.6133e+05,1.0433e+06,4.0535e+05,1.0433e+00
11,6.7804e+11,1.0193e+06,1.1061e+06,4.2945e+05,1.1061e+00
12,7.3975e+11,1.0681e+06,1.1579e+06,4.4692e+05,1.1579e+00
13,8.0208e+11,1.1118e+06,1.2051e+06,4.6485e+05,1.2051e+00
14,8.6390e+11,1.1516e+06,1.2450e+06,4.7303e+05,1.2450e+00
15,9.2522e+11,1.1866e+06,1.2795e+06,4.7858e+05,1.2795e+00
16,9.8673e+11,1.2143e+06,1.3072e+06,4.8400e+05,1.3072e+00
17,1.0489e+12,1.2322e+06,1.3203e+06,4.7424e+05,1.3203e+00
18,1.1106e+12,1.2529e+06,1.3384e+06,4.7093e+05,1.3384e+00
19,1.1723e+12,1.2731e+06,1.3578e+06,4.7191e+05,1.3578e+00
20,1.2340e+12,1.2941e+06,1.3750e+06,4.6480e+05,1.3750e+00
21,1.2956e+12,1.3081e+06,1.3892e+06,4.6754e+05,1.3892e+00
22,1.3570e+12,1.3210e+06,1.4047e+06,4.7762e+05,1.4047e+00
23,1.4188e+12,1.3340e+06,1.4258e+06,5.0308e+05,1.4258e+00
24,1.4807e+12,1.3528e+06,1.4498e+06,5.2140e+05,1.4498e+00
25,1.5429e+12,1.3809e+06,1.4805e+06,5.3383e+05,1.4805e+00
26,1.6044e+12,1.4016e+06,1.5032e+06,5.4343e+05,1.5032e+00
27,1.6656e+12,1.4160e+06,1.5211e+06,5.5556e+05,1.5211e+00
28,1.7277e+12,1.4315e+06,1.5357e+06,5.5594e+05,1.5357e+00
29,1.7897e+12,1.4450e+06,1.5461e+06,5.4974e+05,1.5461e+00
30,1.8513e+12,1.4545e+06,1.5554e+06,5.5111e+05,1.5554e+00
31,1.9132e+12,1.4573e+06,1.5549e+06,5.4213e+05,1.5549e+00
32,1.9750e+12,1.4518e+06,1.5460e+06,5.3144e+05,1.5460e+00
33,2.0361e+12,1.4451e+06,1.5359e+06,5.2043e+05,1.5359e+00
34,2.0980e+12,1.4387e+06,1.5276e+06,5.1350e+05,1.5276e+00
35,2.1599e+12,1.4369e+06,1.5270e+06,5.1687e+05,1.5270e+00
36,2.2212e+12,1.4367e+06,1.5276e+06,5.1891e+05,1.5276e+00
37,2.2833e+12,1.4351e+06,1.5225e+06,5.0836e+05,1.5225e+00
38,2.3450e+12,1.4388e+06,1.5242e+06,5.0303e+05,1.5242e+00
39,2.4070e+12,1.4507e+06,1.5345e+06,5.0011e+05,1.5345e+00
40,2.4682e+12,1.4572e+06,1.5409e+06,5.0092e+05,1.5409e+00
41,2.5301e+12,1.4584e+06,1.5445e+06,5.0854e+05,1.5445e+00
42,2.5921e+12,1.4640e+06,1.5503e+06,5.0999e+05,1.5503e+00
43,2.6534e+12,1.4720e+06,1.5558e+06,5.0365e+05,1.5558e+00
44,2.7151e+12,1.4761e+06,1.5658e+06,5.2218e+05,1.5658e+00
45,2.7770e+12,1.4920e+06,1.5816e+06,5.2474e+05,1.5816e+00
46,2.8387e+12,1.5067e+06,1.5932e+06,5.1774e+05,1.5932e+00
47,2.9007e+12,1.5167e+06,1.6082e+06,5.3482e+05,1.6082e+00
48,2.9623e+12,1.5297e+06,1.6244e+06,5.4639e+05,1.6244e+00
49,3.0240e+12,1.5427e+06,1.6440e+06,5.6819e+05,1.6440e+00
50,3.0860e+12,1.5411e+06,1.6444e+06,5.7370e+05,1.6444e+00
51,3.1473e+12,1.5349e+06,1.6321e+06,5.5458e+05,1.6321e+00
52,3.2093e+12,1.5169e+06,1.6074e+06,5.3175e+05,1.6074e+00
53,3.2706e+12,1.5040e+06,1.5945e+06,5.2969e+05,1.5945e+00
54,3.3328e+12,1.5027e+06,1.5982e+06,5.4433e+05,1.5982e+00
55,3.3941e+12,1.5027e+06,1.5978e+06,5.4312e+05,1.5978e+00
56,3.4559e+12,1.5145e+06,1.6049e+06,5.3121e+05,1.6049e+00
57,3.5180e+12,1.5252e+06,1.6129e+06,5.2456e+05,1.6129e+00
58,3.5794e+12,1.5350e+06,1.6203e+06,5.1866e+05,1.6203e+00
59,3.6410e+12,1.5223e+06,1.6076e+06,5.1667e+05,1.6076e+00
60,3.7030e+12,1.5074e+06,1.5918e+06,5.1128e+05,1.5918e+00
61,3.7649e+12,1.5009e+06,1.5782e+06,4.8787e+05,1.5782e+00
62,3.8265e+12,1.4811e+06,1.5583e+06,4.8453e+05,1.5583e+00
63,3.8881e+12,1.4707e+06,1.5538e+06,5.0132e+05,1.5538e+00
64,3.9498e+12,1.4684e+06,1.5556e+06,5.1331e+05,1.5556e+00
65,4.0113e+12,1.4538e+06,1.5479e+06,5.3161e+05,1.5479e+00
66,4.0733e+12,1.4510e+06,1.5474e+06,5.3748e+05,1.5474e+00
67,4.1350e+12,1.4529e+06,1.5531e+06,5.4873e+05,1.5531e+00
68,4.1965e+12,1.4554e+06,1.5568e+06,5.5260e+05,1.5568e+00
69,4.2587e+12,1.4612e+06,1.5653e+06,5.6122e+05,1.5653e+00
70,4.3197e+12,1.4734e+06,1.5735e+06,5.5239e+05,1.5735e+00
71,4.3819e+12,1.4724e+06,1.5686e+06,5.4090e+05,1.5686e+00
72,4.4438e+12,1.4764e+06,1.5683e+06,5.2906e+05,1.5683e+00
73,4.5049e+12,1.4715e+06,1.5555e+06,5.0409e+05,1.5555e+00
74,4.5664e+12,1.4680e+06,1.5463e+06,4.8594e+05,1.5463e+00
75,4.6282e+12,1.4685e+06,1.5492e+06,4.9336e+05,1.5492e+00
76,4.6900e+12,1.4639e+06,1.5455e+06,4.9547e+05,1.5455e+00
77,4.7521e+12,1.4543e+06,1.5363e+06,4.9528e+05,1.5363e+00
78,4.8135e+12,1.4507e+06,1.5405e+06,5.1848e+05,1.5405e+00
79,4.8756e+12,1.4591e+06,1.5484e+06,5.1824e+05,1.5484e+00
80,4.9375e+12,1.4695e+06,1.5605e+06,5.2489e+05,1.5605e+00
81,4.9987e+12,1.4799e+06,1.5723e+06,5.3112e+05,1.5723e+00
82,5.0603e+12,1.4949e+06,1.5907e+06,5.4378e+05,1.5907e+00
83,5.1222e+12,1.5121e+06,1.6103e+06,5.5368e+05,1.6103e+00
84,5.1837e+12,1.5277e+06,1.6243e+06,5.5186e+05,1.6243e+00
85,5.2459e+12,1.5356e+06,1.6337e+06,5.5748e+05,1.6337e+00
86,5.3076e+12,1.5265e+06,1.6251e+06,5.5746e+05,1.6251e+00
87,5.3694e+12,1.5195e+06,1.6130e+06,5.4115e+05,1.6130e+00
88,5.4312e+12,1.5230e+06,1.6141e+06,5.3443e+05,1.6141e+00
89,5.4929e+12,1.5311e+06,1.6122e+06,5.0494e+05,1.6122e+00
90,5.5546e+12,1.5328e+06,1.6106e+06,4.9469e+05,1.6106e+00
91,5.6161e+12,1.5375e+06,1.6152e+06,4.9485e+05,1.6152e+00
92,5.6781e+12,1.5389e+06,1.6179e+06,4.9940e+05,1.6179e+00
93,5.7398e+12,1.5412e+06,1.6229e+06,5.0850e+05,1.6229e+00
94,5.8013e+12,1.5438e+06,1.6283e+06,5.1768e+05,1.6283e+00
95,5.8632e+12,1.5430e+06,1.6294e+06,5.2380e+05,1.6294e+00
96,5.9249e+12,1.5467e+06,1.6345e+06,5.2841e+05,1.6345e+00
97,5.9866e+12,1.5442e+06,1.6289e+06,5.1840e+05,1.6289e+00
98,6.0483e+12,1.5301e+06,1.6075e+06,4.9272e+05,1.6075e+00
99,6.1100e+12,1.5125e+06,1.5825e+06,4.6549e+05,1.5825e+00
100,6.1720e+12,1.4999e+06,1.5692e+06,4.6119e+05,1.5692e+00
